league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
Ligue_1,2016,a,2.07192,0.312198,1,6,12.25,6.894736842105263
Bundesliga,2015,h,1.3554,0.284787,9,0,2.2580645161290325,9.5625
EPL,2014,h,0.338966,2.03694,7,6,8.0,5.9375
EPL,2014,a,0.606149,2.36522,8,5,6.315789473684211,6.909090909090909
EPL,2019,a,2.39985,0.937293,9,2,7.6923076923076925,11.318181818181818
Bundesliga,2016,h,1.81984,1.07885,3,5,5.4,13.028571428571428
EPL,2019,h,0.521847,1.79181,4,7,12.135135135135137,23.166666666666668
Serie_A,2019,a,1.20816,1.63782,13,4,5.464285714285714,17.266666666666666
Ligue_1,2018,h,1.17326,1.01755,11,3,6.6,21.41176470588235
Serie_A,2015,h,0.838775,0.240971,8,6,6.962962962962963,15.578947368421051
EPL,2018,a,1.31169,1.06009,9,4,7.5,8.0
Ligue_1,2017,h,1.89768,0.894957,4,8,15.85,8.869565217391305
Serie_A,2014,h,1.4245,1.06234,2,8,13.27777777777778,5.291666666666667
La_liga,2016,h,0.434253,1.18318,0,10,11.5,9.36
La_liga,2014,h,1.32137,1.33096,7,4,10.73076923076923,5.40625
Bundesliga,2017,h,2.44799,1.30881,7,2,8.74074074074074,12.833333333333334
Serie_A,2014,a,1.95768,1.36387,3,9,14.578947368421051,6.260869565217392
EPL,2015,a,0.491793,1.36255,1,10,17.88888888888889,6.538461538461538
Ligue_1,2018,a,1.05922,0.689083,7,4,6.0,10.428571428571429
La_liga,2019,h,1.07378,1.12604,5,2,4.730769230769231,13.25
Ligue_1,2015,h,0.924375,0.376406,2,3,4.147058823529412,7.023809523809524
EPL,2015,a,2.0562,0.879474,4,8,10.047619047619047,16.692307692307693
EPL,2014,h,1.05592,1.02093,17,2,5.717948717948718,14.904761904761903
La_liga,2015,a,2.16052,0.898919,4,5,14.045454545454543,5.703703703703703
EPL,2016,a,1.60482,1.24037,8,14,38.36363636363637,4.78125
La_liga,2016,a,2.10663,0.649888,9,5,5.777777777777778,16.80952380952381
Ligue_1,2014,a,1.8591,1.39284,6,2,6.964285714285714,13.434782608695652
Ligue_1,2019,a,2.54466,1.13488,11,7,9.384615384615383,10.08108108108108
Ligue_1,2017,a,1.71105,1.00996,5,4,9.5,16.384615384615383
Serie_A,2015,h,2.48691,0.253216,13,3,4.676470588235294,13.925925925925926
La_liga,2014,h,0.75045,1.64341,4,4,15.588235294117649,7.8
EPL,2019,a,1.71546,2.53209,8,12,11.0,9.1
Ligue_1,2015,h,0.629161,1.40956,3,10,11.766666666666667,4.857142857142857
Bundesliga,2016,h,1.51608,2.03309,4,1,7.0344827586206895,13.4
EPL,2015,a,1.95347,2.41499,1,6,12.142857142857142,8.08695652173913
Serie_A,2019,h,1.9308,0.860645,6,1,5.633333333333334,11.333333333333334
Serie_A,2016,a,1.93049,1.95329,3,3,5.862068965517241,9.727272727272728
Serie_A,2017,a,0.663029,0.744593,4,1,4.8,14.64516129032258
Ligue_1,2016,a,1.05121,2.1061,0,5,6.727272727272728,7.85
Bundesliga,2014,h,0.35254,1.84123,5,7,7.275,8.15
Serie_A,2019,a,0.632994,2.59401,5,8,27.666666666666668,4.742857142857143
Ligue_1,2016,a,1.0688,0.930204,4,8,15.8125,14.8125
Bundesliga,2014,a,0.326006,2.60733,0,5,8.0,6.36
Serie_A,2019,a,1.11258,0.717705,6,4,8.296296296296296,9.653846153846152
EPL,2018,a,0.613167,2.35088,2,19,11.714285714285714,11.538461538461538
EPL,2019,h,0.276667,1.49374,7,8,12.782608695652174,10.4
Ligue_1,2014,h,2.65856,0.657208,4,2,10.73913043478261,16.0
Ligue_1,2018,a,1.38205,0.730635,2,2,11.318181818181818,31.25
EPL,2015,a,1.80939,0.513491,5,10,15.045454545454543,6.375
